 ;Pedido Id;Id Entrega;Data/Hora;Data Marketplace;Data Aprovação;Id Cliente;Situação;Situação - Transporte;Marketplace;Forma de Pagamento;Forma de Recebimento;Serviço Transportadora;Valor Produto;Valor Desconto;Valor Frete;Valor Frete Transportadora;Valor Total;Valor Total Pedido;Motivo Cancelamento;Origem - Source;Origem - Referência (site);Origem - Dispositivo,,,,,,
aguardando-pagamento;669;668;15/08/2024 11:42;15/08/2024 11:31;;790;1 - Aguardando Pagamento;Não Enviado;41 - Shopee;1 - Boleto Bancário;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;129,8;31;28,3;25;98,8;98,8;;;;,,
aguardando-pagamento;668;667;15/08/2024 10:42;15/08/2024 10:41;;789;1 - Aguardando Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;71,9;17;5,48;25;54,9;54,9;;;;,,
transporte;667;666;15/08/2024 07:33;;15/08/2024 07:34;788;7 - Transporte;Não Enviado;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;19,7;0;10,51;10,51;30,21;30,21;;adwords;https-www-google-com;Mobile,
transporte;666;665;15/08/2024 00:14;;15/08/2024 00:15;787;7 - Transporte;Não Enviado;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);24 - Smart2C - Smart2C;56,7;0;17,3;17,3;74;74;;adwords;https-www-google-com-br;Mobile,,,
aguardando-pagamento;665;664;14/08/2024 23:02;14/08/2024 22:42;;786;1 - Aguardando Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;2;5,48;25;44,9;44,9;;;;,,
aguardando-pagamento;664;663;14/08/2024 22:41;14/08/2024 22:32;;786;1 - Aguardando Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;2;5,48;25;44,9;44,9;;;;,,
aguardando-pagamento;663;662;14/08/2024 22:41;14/08/2024 22:38;;786;1 - Aguardando Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;46,9;2;5,48;25;44,9;44,9;;;;,,
transporte;662;661;14/08/2024 18:02;14/08/2024 17:47;15/08/2024 04:41;784;7 - Transporte;Não Enviado;41 - Shopee;1 - Boleto Bancário;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;2;0;25;24,9;24,9;;;;,,,
transporte;661;660;14/08/2024 18:02;14/08/2024 17:56;14/08/2024 18:02;783;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;20,8;0;2,99;25;20,8;20,8;;;;,,
transporte;660;659;14/08/2024 16:14;14/08/2024 16:02;14/08/2024 16:36;782;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;42 - Delivery by Amazon - Delivery by Amazon;53,8;0;16,07;0;69,87;69,87;;;;,,
transporte;659;658;14/08/2024 13:54;14/08/2024 13:39;14/08/2024 14:13;781;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;42 - Delivery by Amazon - Delivery by Amazon;33,9;0;10,31;0;44,21;44,21;;;;,,
transporte;658;657;14/08/2024 13:42;14/08/2024 13:32;14/08/2024 13:42;780;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;6;4,47;25;20,9;20,9;;;;,,
transporte;657;656;14/08/2024 13:06;14/08/2024 13:05;14/08/2024 13:06;778;7 - Transporte;Não Enviado;7 - Mercado Livre;;5 - Mercado Livre;10 - PAC - Mercado Livre - ME2;59,8;0;35,4;35,4;95,2;95,2;;;;,
transporte;656;655;14/08/2024 13:02;14/08/2024 12:50;14/08/2024 13:02;777;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;2;5,48;25;27,9;27,9;;;;,,
transporte;653;652;14/08/2024 11:56;14/08/2024 11:56;14/08/2024 11:56;774;7 - Transporte;Não Enviado;7 - Mercado Livre;;5 - Mercado Livre;;108,3;0;0;0;108,3;108,3;;;;,,,
transporte;652;651;14/08/2024 11:01;14/08/2024 10:41;14/08/2024 11:01;773;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3,9;15,96;25;19;19;;;;,,,
transporte;651;650;14/08/2024 08:36;;14/08/2024 08:37;772;7 - Transporte;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);24 - Smart2C - Smart2C;20,9;0,63;9;9;29,27;29,27;;adwords;https-www-google-com;Desktop,,
transporte;650;649;14/08/2024 08:27;;14/08/2024 08:30;771;7 - Transporte;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;45,8;1,37;10,7;10,7;55,13;55,13;;fb;;Mobile
pagamento-cancelado;649;648;14/08/2024 08:02;14/08/2024 08:01;;770;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;67,8;16;0;25;51,8;51,8;;;;,,,
transporte;648;647;14/08/2024 02:12;14/08/2024 01:18;14/08/2024 02:12;769;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;12,9;0;14,08;10,03;26,98;26,98;;;;,
transporte;646;646;13/08/2024 23:21;13/08/2024 23:09;13/08/2024 23:21;767;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;38,9;9,41;27,17;25;29,49;29,49;;;;,
transporte;645;645;13/08/2024 22:02;13/08/2024 21:43;13/08/2024 22:02;766;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;55,9;4;10,1;25;51,9;51,9;;;;,,
transporte;644;644;13/08/2024 21:02;13/08/2024 20:47;13/08/2024 21:02;765;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3,9;10,1;25;19;19;;;;,,,
pagamento-cancelado;643;643;13/08/2024 20:01;13/08/2024 19:51;;764;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3,9;5,48;25;19;19;;;;,,,
transporte;642;642;13/08/2024 14:01;13/08/2024 13:48;13/08/2024 14:01;763;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;28,9;7;2,99;25;21,9;21,9;;;;,,
transporte;641;641;13/08/2024 13:22;13/08/2024 13:09;13/08/2024 13:22;762;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;6;2,99;25;20,9;20,9;;;;,,
transporte;640;640;13/08/2024 12:01;13/08/2024 11:59;13/08/2024 12:01;761;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;77,9;8;2,99;25;69,9;69,9;;;;,,
transporte;639;639;13/08/2024 10:35;13/08/2024 10:23;13/08/2024 10:35;760;7 - Transporte;Não Enviado;23 - Magazine Luiza;17 - Pix;29 - Magazine Luiza;16 - Magalu Entregas - Magalu Entregas;45,9;0;35,82;35,82;81,72;81,72;;;;,
transporte;638;638;13/08/2024 09:02;13/08/2024 08:44;13/08/2024 09:02;759;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;53,8;12;7,17;25;41,8;41,8;;;;,,
pagamento-cancelado;637;637;13/08/2024 08:02;13/08/2024 07:55;;758;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;110,7;17,41;69,47;25;93,29;93,29;;;;,
pagamento-cancelado;636;636;13/08/2024 07:02;13/08/2024 06:51;;757;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;6;4,47;25;20,9;20,9;;;;,,
transporte;635;635;12/08/2024 23:59;;13/08/2024 00:02;756;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;17,7;0,54;15,34;15,34;32,5;32,5;;ig;http-instagram-com;Mobile
transporte;634;634;12/08/2024 22:54;12/08/2024 22:49;12/08/2024 23:37;755;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;42 - Delivery by Amazon - Delivery by Amazon;23,9;0;8,14;0;32,04;32,04;;;;,,
transporte;633;633;12/08/2024 22:41;12/08/2024 22:29;12/08/2024 22:41;754;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;135,6;32;12,85;25;103,6;103,6;;;;,,
transporte;632;632;12/08/2024 21:41;12/08/2024 21:33;12/08/2024 21:41;753;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;38,9;9;7,61;25;29,9;29,9;;;;,,
transporte;631;631;12/08/2024 20:41;12/08/2024 20:37;12/08/2024 20:41;752;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;71,9;17;5,48;25;54,9;54,9;;;;,,
transporte;630;630;12/08/2024 20:01;12/08/2024 19:44;12/08/2024 20:01;751;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;3;2,99;25;26,9;26,9;;;;,,
transporte;629;629;12/08/2024 19:54;12/08/2024 19:24;12/08/2024 19:54;750;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;42 - Delivery by Amazon - Delivery by Amazon;19,9;0;10,07;25;29,97;29,97;;;;,,
