 ;Pedido Id;Data/Hora;Situação;Situação;Situação - Transporte;Marketplace;Forma de Pagamento;Forma de Recebimento;Serviço Transportadora;Valor Produto;Valor Desconto;Valor Acréscimo;Valor Frete;Valor Frete Transportadora;Valor Total;Valor Total Pedido;Loja;Obs.;Origem - Pedido
aprovado;1451;18/09/2024 17:12;4;4 - Aprovado;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,09;8,26;21,99;21,99;1 - Dica de Madame;1;Marketplace
aprovado;1450;18/09/2024 16:54;4;4 - Aprovado;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;32,9;0;0;26,28;14,1;59,18;59,18;1 - Dica de Madame;1;Marketplace
aprovado;1449;18/09/2024 16:54;4;4 - Aprovado;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;43,9;0;0;14,6;12,3;58,5;58,5;1 - Dica de Madame;;Marketplace
aprovado;1448;18/09/2024 14:36;4;4 - Aprovado;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;19,33;15,7;39,23;39,23;1 - Dica de Madame;;Marketplace
aguardando-pagamento;1447;18/09/2024 13:46;1;1 - Aguardando Pagamento;Não Enviado;1 - Lojas Americanas;1 - Boleto Bancário;3 - B2W;14 - PAC - B2W Entregas;41,8;0;0;27,99;27,99;69,79;69,79;1 - Dica de Madame;;Marketplace
aprovado;1446;18/09/2024 13:37;4;4 - Aprovado;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;16,1;10,09;25;25;1 - Dica de Madame;;Marketplace
aprovado;1445;18/09/2024 13:22;4;4 - Aprovado;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;2;0;0;25;24,9;24,9;1 - Dica de Madame;;Marketplace
aprovado;1444;18/09/2024 12:59;4;4 - Aprovado;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;10,39;0,31;0;9,98;9,98;20,06;20,06;1 - Dica de Madame;;Site
transporte;1443;18/09/2024 12:54;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,6;9,97;22,5;22,5;1 - Dica de Madame;1;Marketplace
transporte;1442;18/09/2024 12:12;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;30,33;20,32;50,23;50,23;1 - Dica de Madame;1;Marketplace
transporte;1440;18/09/2024 11:06;7;7 - Transporte;Não Enviado;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;13,8;0;0;8,94;8,94;22,74;22,74;1 - Dica de Madame;;Site
transporte;1439;18/09/2024 11:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;55,8;6;0;10,1;25;49,8;49,8;1 - Dica de Madame;;Marketplace
transporte;1438;18/09/2024 11:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;16,9;2;0;5,48;25;14,9;14,9;1 - Dica de Madame;;Marketplace
transporte;1437;18/09/2024 10:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;59,7;3;0;0;25;56,7;56,7;1 - Dica de Madame;;Marketplace
transporte;1436;18/09/2024 09:01;7;7 - Transporte;Não Enviado;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;37,4;0;0;10,1;10,1;47,5;47,5;1 - Dica de Madame;;Site
transporte;1435;18/09/2024 08:22;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;29,9;3;0;11,22;25;26,9;26,9;1 - Dica de Madame;;Marketplace
transporte;1434;18/09/2024 02:13;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;30,18;20,09;45,08;45,08;1 - Dica de Madame;1;Marketplace
transporte;1433;18/09/2024 00:54;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;14,18;8,34;34,08;34,08;1 - Dica de Madame;;Marketplace
aguardando-pagamento;1432;17/09/2024 23:22;1;1 - Aguardando Pagamento;Não Enviado;67 - AliExpress;;92 - AliExpress;39 - AliExpress Entregas - AliExpress Entregas;4,9;0;0;51,89;25;56,79;56,79;1 - Dica de Madame;;Marketplace
transporte;1431;17/09/2024 23:22;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;31,9;3;0;6,17;25;28,9;28,9;1 - Dica de Madame;;Marketplace
transporte;1430;17/09/2024 22:53;7;7 - Transporte;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;8,49;0,25;0;13,1;8,68;21,34;21,34;1 - Dica de Madame;1;Site
transporte;1429;17/09/2024 22:03;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;25,9;5;0;5,48;25;20,9;20,9;1 - Dica de Madame;;Marketplace
aguardando-pagamento;1428;17/09/2024 21:36;1;1 - Aguardando Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;27,9;0;0;13,66;0;41,56;41,56;1 - Dica de Madame;;Marketplace
transporte;1427;17/09/2024 21:13;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;16,18;12,87;31,08;31,08;1 - Dica de Madame;;Marketplace
transporte;1426;17/09/2024 20:54;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;44,7;0;0;14,53;12,31;59,23;59,23;1 - Dica de Madame;1;Marketplace
transporte;1425;17/09/2024 20:34;7;7 - Transporte;Não Enviado;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;23,6;0,71;0;8,97;8,97;31,86;31,86;1 - Dica de Madame;;Site
transporte;1424;17/09/2024 20:03;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;45,9;9;0;2,99;25;36,9;36,9;1 - Dica de Madame;;Marketplace
transporte;1423;17/09/2024 18:36;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;15,68;8,75;35,58;35,58;1 - Dica de Madame;;Marketplace
transporte;1422;17/09/2024 15:19;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;33,9;8;0;5,48;25;25,9;25,9;1 - Dica de Madame;;Marketplace
aguardando-pagamento;1421;17/09/2024 14:13;1;1 - Aguardando Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;7,9;0;0;15,1;0;23;23;1 - Dica de Madame;;Marketplace
transporte;1420;17/09/2024 14:13;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;13,62;10,13;33,52;33,52;1 - Dica de Madame;;Marketplace
transporte;1419;17/09/2024 13:54;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;9,9;0;0;25;13,89;34,9;34,9;1 - Dica de Madame;1;Marketplace
aguardando-pagamento;1418;17/09/2024 13:42;1;1 - Aguardando Pagamento;Não Enviado;67 - AliExpress;;92 - AliExpress;39 - AliExpress Entregas - AliExpress Entregas;3,9;0;0;29,62;25;33,52;33,52;1 - Dica de Madame;;Marketplace
transporte;1417;17/09/2024 13:12;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;25,9;0;0;13,66;8,59;39,56;39,56;1 - Dica de Madame;1;Marketplace
transporte;1416;17/09/2024 13:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;23,9;4;0;7,17;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1415;17/09/2024 12:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;22,9;3;0;13,42;25;19,9;19,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1414;17/09/2024 11:38;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;8,9;0;0;13,6;0;22,5;22,5;1 - Dica de Madame;;Marketplace
transporte;1413;17/09/2024 11:02;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;45,8;6;0;9,64;25;39,8;39,8;1 - Dica de Madame;;Marketplace
transporte;1412;17/09/2024 10:42;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;53,8;14;0;8,3;25;39,8;39,8;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1411;17/09/2024 10:39;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;19,9;0;0;13,59;0;33,49;33,49;1 - Dica de Madame;;Marketplace
transporte;1410;17/09/2024 09:37;7;7 - Transporte;Não Enviado;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;12,9;0;0;19,04;15,56;31,94;31,94;1 - Dica de Madame;1;Marketplace
